Borough,Facility Name,Street Address,City,State,Post Code,Phone Number(s),Comments,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
Manhattan,HRA Benefits Access Center East End,"2322 Third Avenue, 1st Fl.",New York,NY,10035,Phone: 212-274-4951 Fax: 917-639-2502 | HDU Fax: 917-639-2503,"Monday – Friday 8:30am to 5:00pm; This center includes a Children's Corner, which provides supervision during limited hours.",40.804465,-73.93526,111,8,242,1054497,1017750033,MN1102
Manhattan,HRA Benefits Access Center St. Nicholas,132 W. 125th Street. 4th Fl.,New York,NY,10027,Phone: 212-274-5162 Fax: 917-639-2499 | HDU Fax: 917-639-2500,Monday – Friday 8:30am to 5:00pm,40.808451,-73.947112,110,9,222,1057820,1019090012,MN1001
Manhattan,HRA Benefits Access Center Lower Manhattan,"109 E. 16th Street, 1st Fl.",New York,NY,10003,Fax: 917-639-2505 | HDU Fax: 917-639-2506,"Monday – Friday 8:30am to 5:00pm; This center includes a Children's Corner, which provides supervision during limited hours.",40.735681,-73.988713,105,2,50,1017821,1008720013,MN0602
Queens,HRA Benefits Access Center Jamaica,"165-08 88th Avenue, 1st Fl.",Queens,NY,11432,Phone: 718-523-2146 | 718-883-8250 Fax: 917-639-2477 | HDU Fax: 917-639-2478,"Monday – Friday 8:30am to 5:00pm; This center includes a Children's Corner, which provides supervision during limited hours.",40.708661,-73.796703,412,24,460,4210062,4098150056,QN1201
Queens,HRA Benefits Access Center Queens,"32-20 Northern Blvd, 4th Floor",Queens,NY,11101,Phone: 718-784-5919 | 718-784-6043 Fax: 917-639-2493 | HDU FAX: 917-639-1120,Monday – Friday 8:30am to 5:00pm,40.75197,-73.931799,401,26,17102,4003105,4002147501,QN0161
Queens,HRA Benefits Access Center Rockaway,219 Beach 59th Street,Queens,NY,11692,Phone: 718-637-2144 | 718-637-2140 Fax: 917-639-2521 | HDU Fax: 917-639-2522,"Monday – Friday 8:30am to 5:00pm; This center includes a Children's Corner, which provides supervision during limited hours.",40.592902,-73.789051,414,31,964,4301932,4159000008,QN1402
Staten Island,HRA Benefits Access Center Richmond,"201 Bay Street, 1st Fl.",Staten Island,NY,10301,Phone: 929-221-7915 | 929-221-7909 Fax: 917-639-2519 | HDU Fax: 917-639-1109,Center Hours: Monday – Friday 8:30am to 5:00pm,40.636992,-74.076212,501,49,21,5013238,5004970009,SI0102
Specialized Application & Service Centers,Union Square Service Center,109 E. 16th Street,New York,NY,10003,Phone: 929-252-5580 | 929-252-5520 Fax: 917-639-2527 | HDU Fax: 917-639-2529,Monday – Friday 8:30am to 5:00pm; Primarily serves individuals identified as having significant barriers to employment and needing specialized services.,40.735681,-73.988713,105,2,50,1017821,1008720013,MN0602
Specialized Application & Service Centers,Michael J. Handy Veterans' Service Center,"25 Chapel Street, 6th Fl., Room 606",Brooklyn,NY,11201,Phone: 718-222-2430 Fax: 917-639-2517 | HDU Fax: 917-639-2518,Monday – Friday 8:30am to 5:00pm; Primarily services cash assistance cases in which at least one household member is a Veteran.,40.697254,-73.986015,302,33,13,3335884,3001180006,BK0202
Specialized Application & Service Centers,Common Benefit Identification Card (CBIC) Electronic Benefits Transfer (EBT) Services Office,"785 Atlantic Avenue, 1st Floor",Brooklyn,NY,11238,,Monday – Friday 8:30am to 5:00pm; Primarily administers permanent replacement EBT cards.,40.681962,-73.968434,302,35,199,3335094,3020090001,BK0204
Specialized Application & Service Centers,Refugee and Immigrant Service Center,"32-20 Northern Boulevard, 5th Fl.",Queens,NY,11101,Phone: 929-221-4902 Fax: 917-639-2484 | HDU FAX: 917-639-2485,"Monday – Friday 8:30am to 5:00pm; This center includes a Children's Corner, which provides supervision during limited hours.",40.75197,-73.931799,401,26,17102,4003105,4002147501,QN0161
Residential Treatment Service Center,Residential Treatment Service Center,"109 E. 16th Street, 2nd Fl.",New York,NY,10003,Phone: 929-252-5910 Fax: 917-639-2525,Monday – Friday 8:30am to 5:00pm; Primarily serves individuals currently residing in a residential treatment facility.,40.735681,-73.988713,105,2,50,1017821,1008720013,MN0602
Special Project Center,Special Project Center,"109 E 16th Street, 6th Floor",New York,NY,10003,Phone: 929-252-5775 | 929-252-5742,Primarily serves ACS youth that have been referred.,40.735681,-73.988713,105,2,50,1017821,1008720013,MN0602
Transportation Unit,Transportation Unit,"25 Chapel Street, 6th Fl.",Brooklyn,NY,11201,Phone: 718-473-8310,,40.697254,-73.986015,302,33,13,3335884,3001180006,BK0202
Family Services Call Centers,"Family Services Call Center, Bronx Satellite",847 Barretto Street,Bronx,NY,10474,Phone: 929-252-4269 | 718-883-8296 Fax: 718-617-4253,Monday – Friday 8:30am to 5:00pm; *Primarily handles face to face recertifications and emergency walk-in activities for the Family Call Center's active child only cases whose payees are not in receipt of cash assistance.,40.817689,-73.890379,202,17,9301,2005939,2027390015,BX0201
Family Services Call Centers,"Family Services Call Center, Brooklyn Satellite","404 Pine Street, 3rd Fl.",Brooklyn,NY,11208,Phone: 929-221-8267 | 718-883-8296 Fax: 718-827-6978,Monday – Friday 8:30am to 5:00pm; *Primarily handles face to face recertifications and emergency walk-in activities for the Family Call Center's active child only cases whose payees are not in receipt of cash assistance.,40.67588,-73.871091,305,42,1196,3094690,3042140001,BK0505
Family Services Call Centers,"Family Services Call Center, Manhattan Satellite",132 W. 125th Street,New York,NY,10027,Phone: 212-666-7566 | 718-883-8296 Fax: 212-666-3428,Monday – Friday 8:30am to 5:00pm; *Primarily handles face to face recertifications and emergency walk-in activities for the Family Call Center’s active child only cases whose payees are not in receipt of cash assistance.,40.808451,-73.947112,110,9,222,1057820,1019090012,MN1001
Family Services Call Centers,"Family Services Call Center, Queens Satellite",32-20 Northern Boulevard,Queens,NY,11101,Phone: 718-752-3937 | 718-883-8296 Fax: 718-784-6119,Monday – Friday 8:30am to 5:00pm;  *Primarily handles face to face recertifications and emergency walk-in activities for the Family Call Center's active child only cases whose payees are not in receipt of cash assistance.,40.75197,-73.931799,401,26,17102,4003105,4002147501,QN0161
Family Service Call Center,Family Service Call Center,"165-08 88th Avenue, 5th Fl.",Queens,NY,11432,Phone: 718-752-3937 | 718-883-8296 Fax: 718-883-8233 | 718-883-8195 | HDU Fax: 917-639-2536,Monday – Friday 8:30am to 5:00pm; *Primarily a mail and phone operation servicing active child only cases whose payees are not in receipt of cash assistance.,40.708661,-73.796703,412,24,460,4210062,4098150056,QN1201
